,Class,X,Y
5476,CD8+,5281,13230
5477,CD8+,5281,13715
5478,FOXP3-CD4+,5286,13640
5479,CD8+,5291,13462
5480,CD8+,5291,13804
5481,CD8+,5295,13383
5482,FOXP3-CD4+,5295,13592
5483,FOXP3-CD4+,5298,13160
5484,FOXP3-CD4+,5300,13546
5485,CD8+,5306,13172
5486,FOXP3-CD4+,5308,13935
5487,CD8+,5313,13615
5488,CD8+,5317,13773
5489,FOXP3-CD4+,5319,13450
5490,CD8+,5325,13222
5491,FOXP3-CD4+,5332,13486
5492,FOXP3-CD4+,5335,13933
5493,CD8+,5337,13427
5494,CD8+,5338,13598
5495,FOXP3-CD4+,5338,13909
5496,FOXP3-CD4+,5339,13311
5497,FOXP3+CD4+,5342,13271
5498,CD8+,5346,13480
5499,FOXP3-CD4+,5346,13622
5500,CD8+,5349,13456
5501,FOXP3-CD4+,5356,13543
5502,FOXP3-CD4+,5361,13354
5503,CD8+,5362,13823
5504,FOXP3-CD4+,5364,13664
5505,CD8+,5367,13568
5506,FOXP3-CD4+,5368,13190
5507,FOXP3-CD4+,5369,13269
5508,CD8+,5373,13600
5509,CD8+,5377,13239
5510,FOXP3-CD4+,5379,13408
5511,FOXP3-CD4+,5382,13310
5512,FOXP3-CD4+,5383,13053
5513,FOXP3-CD4+,5386,13464
5514,CD8+,5388,13923
5515,FOXP3-CD4+,5394,13254
5516,FOXP3-CD4+,5396,13235
5517,CD8+,5398,13802
5518,CD8+,5400,13205
5519,FOXP3-CD4+,5409,12871
5520,FOXP3-CD4+,5410,13314
5521,CD8+,5410,13896
5522,CD8+,5417,13448
5523,FOXP3-CD4+,5417,13870
5524,CD8+,5422,13412
5525,CD8+,5426,13620
5526,FOXP3-CD4+,5431,12863
5527,FOXP3-CD4+,5432,13505
5528,CD8+,5434,13806
5529,FOXP3-CD4+,5449,13282
5530,FOXP3-CD4+,5449,13552
5531,CD8+,5449,13945
5532,FOXP3-CD4+,5452,13337
5533,FOXP3-CD4+,5453,12866
5534,CD8+,5453,13762
5535,FOXP3-CD4+,5454,13579
5536,CD8+,5455,13820
5537,FOXP3-CD4+,5464,13301
5538,CD8+,5472,13938
5539,FOXP3-CD4+,5481,13821
5540,CD8+,5486,13090
5541,CD8+,5489,13109
5542,CD8+,5489,13609
5543,CD8+,5511,13649
5544,CD8+,5511,13911
5545,FOXP3-CD4+,5515,13557
5546,CD8+,5516,13338
5547,CD8+,5517,13788
5548,FOXP3-CD4+,5519,13532
5549,CD8+,5541,13834
5550,FOXP3-CD4+,5543,12516
5551,FOXP3-CD4+,5543,13517
5552,CD8+,5548,13186
5553,FOXP3-CD4+,5550,13059
5554,FOXP3-CD4+,5553,13896
5555,FOXP3-CD4+,5554,13771
5556,FOXP3-CD4+,5564,12891
5557,FOXP3-CD4+,5565,12829
5558,CD8+,5567,13830
5559,FOXP3-CD4+,5569,13361
5560,CD8+,5570,12984
5561,FOXP3-CD4+,5572,13331
5562,FOXP3-CD4+,5574,13798
5563,FOXP3-CD4+,5577,13592
5564,FOXP3-CD4+,5580,13451
5565,FOXP3-CD4+,5581,13369
5566,CD8+,5584,12993
5567,CD8+,5584,13965
5568,CD8+,5586,13621
5569,FOXP3-CD4+,5587,13049
5570,FOXP3-CD4+,5590,13265
5571,FOXP3-CD4+,5591,13251
5572,FOXP3-CD4+,5594,13661
5573,CD8+,5610,13368
5574,CD8+,5611,13063
5575,FOXP3-CD4+,5616,13347
5576,FOXP3-CD4+,5617,12896
5577,CD8+,5626,13086
5578,CD8+,5626,13907
5579,CD8+,5631,13195
5580,FOXP3-CD4+,5632,13225
5581,FOXP3-CD4+,5635,13786
5582,CD8+,5644,12875
5583,CD8+,5645,13956
5584,CD8+,5652,12793
5585,FOXP3-CD4+,5652,13533
5586,FOXP3-CD4+,5654,12766
5587,FOXP3-CD4+,5656,13470
5588,FOXP3-CD4+,5657,13134
5589,FOXP3-CD4+,5659,13821
5590,FOXP3-CD4+,5664,13177
5591,CD8+,5667,12924
5592,CD8+,5670,13791
5593,FOXP3-CD4+,5678,13966
5594,FOXP3-CD4+,5681,12397
5595,CD8+,5681,12913
5596,FOXP3-CD4+,5682,12896
5597,CD8+,5687,13053
5598,FOXP3-CD4+,5691,13459
5599,FOXP3-CD4+,5691,13736
5600,FOXP3-CD4+,5697,13906
5601,CD8+,5699,13175
5602,FOXP3-CD4+,5704,13429
5603,CD8+,5705,13857
5604,CD8+,5712,13747
5605,FOXP3-CD4+,5716,12424
5606,CD8+,5720,12916
5607,FOXP3-CD4+,5720,13496
5608,FOXP3-CD4+,5720,13700
5609,FOXP3-CD4+,5729,13573
5610,CD8+,5734,13698
5611,FOXP3-CD4+,5736,13735
5612,CD8+,5741,13849
5613,CD8+,5744,13768
5614,FOXP3-CD4+,5749,13078
5615,CD8+,5754,13420
5616,CD8+,5755,13932
5617,CD8+,5756,13363
5618,CD8+,5758,13891
5619,CD8+,5771,13303
5620,FOXP3-CD4+,5773,13035
5621,CD8+,5775,13111
5622,CD8+,5780,12886
5623,FOXP3-CD4+,5792,13895
5624,FOXP3-CD4+,5794,13575
5625,CD8+,5794,13908
5626,CD8+,5795,13559
5627,FOXP3-CD4+,5801,13696
5628,CD8+,5814,13503
5629,CD8+,5814,13521
5630,FOXP3-CD4+,5817,13886
5631,FOXP3-CD4+,5823,13820
5632,CD8+,5829,13288
5633,FOXP3-CD4+,5829,13419
5634,CD8+,5837,13832
5635,FOXP3-CD4+,5839,13428
5636,CD8+,5839,13464
5637,FOXP3-CD4+,5843,13674
5638,FOXP3-CD4+,5847,13191
5639,CD8+,5850,13105
5640,FOXP3-CD4+,5852,13752
5641,FOXP3-CD4+,5854,13230
5642,FOXP3-CD4+,5855,13708
5643,FOXP3-CD4+,5864,13084
5644,FOXP3-CD4+,5865,13390
5645,FOXP3-CD4+,5865,13883
5646,CD8+,5867,13242
5647,FOXP3-CD4+,5870,13897
5648,CD8+,5872,13163
5649,CD8+,5882,13543
5650,FOXP3-CD4+,5891,13725
5651,FOXP3-CD4+,5891,13876
5652,CD8+,5899,13763
5653,CD8+,5906,13373
5654,CD8+,5907,13587
5655,CD8+,5908,13133
5656,CD8+,5909,13337
5657,FOXP3-CD4+,5924,13417
5658,FOXP3-CD4+,5929,13682
5659,FOXP3-CD4+,5931,13666
5660,CD8+,5933,13258
5661,FOXP3+CD4+,5933,13430
5662,CD8+,5935,13194
5663,CD8+,5941,13341
5664,FOXP3-CD4+,5945,13692
5665,FOXP3-CD4+,5947,13540
5666,CD8+,5952,13715
5667,CD8+,5954,13390
5668,FOXP3-CD4+,5956,13563
5669,FOXP3+CD4+,5961,13694
5670,FOXP3-CD4+,5973,13481
5671,CD8+,5974,13968
5672,FOXP3-CD4+,5975,13404
5673,CD8+,5982,13431
5674,CD8+,5983,13948
5675,FOXP3-CD4+,5985,13729
5676,FOXP3-CD4+,5988,13744
5677,FOXP3-CD4+,5990,13884
5678,CD8+,6013,13471
5679,CD8+,6015,13636
5680,CD8+,6017,13446
5681,FOXP3-CD4+,6020,13420
5682,FOXP3-CD4+,6025,13611
5683,CD8+,6028,13503
